ksystemstats 5.26.3-1
ktexteditor 5.99.0-1
ktextwidgets 5.99.0-1
kubeadm 1.25.4-1
kubectl 1.25.4-1
kubelet 1.25.4-1
kunitconversion 5.99.0-1
kuserfeedback 1.2.0-1
kvantum 1.0.6-1
kvantum-theme-matcha 20190810-1
kwallet 5.99.0-1
kwayland 5.99.0-1
kwidgetsaddons 5.99.0-1
kwin 5.26.3-1
kwindowsystem 5.99.0-1
kxmlgui 5.99.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.11-1
laptop-mode-tools 1.72.2-1
lasem 0.4.4-2
layer-shell-qt 5.26.3-1
lcms2 2.14-1
ldb 2:2.6.1-1
ldns 1.8.3-2
lensfun 1:0.3.3-1
less 1:608-1
lib2geom 1.2-2
lib32-alsa-lib 1.2.8-1
lib32-alsa-plugins 1.2.7.1-1
lib32-at-spi2-core 2.46.0-2
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-curl 7.86.0-2
lib32-dbus 1.14.4-1
lib32-dbus-glib 0.112-2
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.5.0-2
lib32-flac 1.4.2-1
lib32-fontconfig 2:2.14.1-2
lib32-freeglut 3.4.0-1
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gcc-libs 12.2.0-1
lib32-gdk-pixbuf2 2.42.10-1
lib32-giflib 5.2.1-1
lib32-glew 2.2.0-3
lib32-glew1.10 1.10.0-5
lib32-glib2 2.74.1-1
lib32-glibc 2.36-6
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.8-1
lib32-gtk2 2.24.33-2
lib32-harfbuzz 5.3.1-3
lib32-icu 72.1-1
lib32-imlib2 1.9.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20-3
lib32-libappindicator-gtk2 12.10.0-13
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcaca 0.99.beta20-1
